title,company,salary,location,url,crawled_at,min_salary_raw,max_salary_raw,currency,min_salary_mil_vnd,max_salary_mil_vnd,avg_salary_mil_vnd
Kỹ Su Phát Triển Phần Mềm (C/C++/Java/Python/Golang/Mobile App),,Thỏa thuận,,https://www.topcv.vn/viec-lam/ky-su-phat-trien-phan-mem-c-c-java-python-golang-mobile-app/2014281.html?ta_source=JobSearchList_LinkDetail&u_sr_id=wj6p3Qkdg7giMPXLA8GmOiy6vAqpmq8I5QYLuSKw_1769720520,2026-01-30T04:02:01.608223,,,Negotiable,,,
Backend Developer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-backend-developer-cr257cb258cl272,2026-01-30T04:02:01.608223,,,Negotiable,,,
IT - Phần mềm,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-moi-nhat?domain_knowledge=3,2026-01-30T04:02:01.608223,,,Negotiable,,,
Nghỉ thứ 7,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-nghi-thu-7,2026-01-30T04:02:01.608223,,,Negotiable,,,
Backend Developer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-backend-developer-cr257cb258cl272,2026-01-30T04:02:01.609315,,,Negotiable,,,
Middle Mobile Dev (Kotlin And Swift),,Thỏa thuận,,https://www.topcv.vn/viec-lam/middle-mobile-dev-kotlin-and-swift/2016835.html?ta_source=JobSearchList_LinkDetail&u_sr_id=wj6p3Qkdg7giMPXLA8GmOiy6vAqpmq8I5QYLuSKw_1769720520,2026-01-30T04:02:01.609315,,,Negotiable,,,
Mobile Developer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-mobile-developer-cr257cb258cl274,2026-01-30T04:02:01.609315,,,Negotiable,,,
IT - Phần mềm,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-moi-nhat?domain_knowledge=3,2026-01-30T04:02:01.609315,,,Negotiable,,,
Nghỉ thứ 7,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-nghi-thu-7,2026-01-30T04:02:01.609315,,,Negotiable,,,
Mobile Developer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-mobile-developer-cr257cb258cl274,2026-01-30T04:02:01.609315,,,Negotiable,,,
Chuyên Viên Lập Trình Fullstack (Node.Js / NestJS),,Thỏa thuận,,https://www.topcv.vn/viec-lam/chuyen-vien-lap-trinh-fullstack-node-js-nestjs/2018950.html?ta_source=JobSearchList_LinkDetail&u_sr_id=wj6p3Qkdg7giMPXLA8GmOiy6vAqpmq8I5QYLuSKw_1769720520,2026-01-30T04:02:01.609315,,,Negotiable,,,
Fullstack Developer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-fullstack-developer-cr257cb258cl275,2026-01-30T04:02:01.609315,,,Negotiable,,,
IT - Phần mềm,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-moi-nhat?domain_knowledge=3,2026-01-30T04:02:01.609315,,,Negotiable,,,
